call_id,session_id,provider,model,modality,task_id,request_at,result_at,input_hash,output_hash,status,retry_count,local_raw_ref,git_safe_note
latest_live_02-QW0012,latest_live_02,Alibaba DashScope,qwen3-vl-plus,qwen_vl_video_window,,2026-07-23T16:05:43+08:00,2026-07-23T16:05:43+08:00,785485dabfa4,f40808e0bd59c6d7afe2bf56426fdb8e8edfd192ca7be6657f630cc64e7ca6b9,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/api_raw/latest_live_02_vision_0012_qwen3-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_02-QW0013,latest_live_02,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T16:05:49+08:00,2026-07-23T16:05:49+08:00,7886f224281d,259927b4e96a81d00d82551e3c721a308e20a4e3cd75c67fb96219de5aca3af7,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/api_raw/latest_live_02_vision_0013_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_02-QW0014,latest_live_02,Alibaba DashScope,qwen3-vl-plus,qwen_vl_video_window,,2026-07-23T16:06:14+08:00,2026-07-23T16:06:14+08:00,b1e249503588,1743c15d9766941a72f926048934f3612e3e0c48fc41a6c8cb158dcb955d0c80,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/api_raw/latest_live_02_vision_0014_qwen3-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_02-QW0015,latest_live_02,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T16:06:20+08:00,2026-07-23T16:06:20+08:00,a72c7bff56d4,009cad98b01af4a22c13b0ff5627148b750cd2ad319911a13b1413bc72fb18fb,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/api_raw/latest_live_02_vision_0015_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_02-QW0016,latest_live_02,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T16:06:25+08:00,2026-07-23T16:06:25+08:00,f7b04aa63ef8,6b82d733c0d960c2966c5b63f26d7b7531f25507b0958d3f04bda8a719964ed1,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/api_raw/latest_live_02_vision_0016_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_02-QW0017,latest_live_02,Alibaba DashScope,qwen3-vl-plus,qwen_vl_video_window,,2026-07-23T16:06:53+08:00,2026-07-23T16:06:53+08:00,389c05558297,355d31c663a7485bb255d7216c03136af0751abe190d517db649532638b6c768,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/api_raw/latest_live_02_vision_0017_qwen3-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_02-QW0018,latest_live_02,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T16:06:58+08:00,2026-07-23T16:06:58+08:00,986c1fda20c7,ac098e4d7bf74ede3d6a6559d6b73a865f54f61764084b81b29ba780c7352611,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/api_raw/latest_live_02_vision_0018_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_02-QW0019,latest_live_02,Alibaba DashScope,qwen-vl-max,qwen_vl_video_window,,2026-07-23T16:07:29+08:00,2026-07-23T16:07:29+08:00,47b543748e35,5a4c41407d1ab2f77cbf232ac3d1d75f917eb595d0a30e0382a07f8d65eadc50,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/api_raw/latest_live_02_vision_0019_qwen-vl-max.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_02-QW0020,latest_live_02,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T16:07:34+08:00,2026-07-23T16:07:34+08:00,02f3323a1e9f,6cedba4a671990a1dc19c3b6da64e4f9bb282b5f29eacea1a395a55ed9e013ed,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/api_raw/latest_live_02_vision_0020_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_03-QW0001,latest_live_03,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T16:10:14+08:00,2026-07-23T16:10:14+08:00,6dfbba3a2cf1,1dbcf3ad564ac858d5d80fd6eaa2a5c5cab1367677648413c2d3652cb4fa2e9c,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_03/api_raw/latest_live_03_vision_0001_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
